name,store_id,월,화,수,목,금,토,일,영업구분
고에몬 강남점,31413936,21:30,21:30,21:30,21:30,21:30,21:30,21:30,라스트오더
치스타리에 강남역점,1443081237,11:50,11:50,11:50,11:50,11:50,11:50,11:50,오픈
치스타리에 강남역점,1443081237,22:50,22:50,22:50,22:50,22:50,22:50,22:50,마감
치스타리에 강남역점,1443081237,22:20,22:20,22:20,22:20,22:20,22:20,22:20,라스트오더
이름없는파스타 강남역점,1032522375,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
이름없는파스타 강남역점,1032522375,21:30,21:30,21:30,21:30,21:30,21:30,21:30,마감
이름없는파스타 강남역점,1032522375,20:40,20:40,20:40,20:40,20:40,20:40,20:40,라스트오더
미태리 선릉포스코점,1251999118,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
미태리 선릉포스코점,1251999118,21:00,21:00,21:00,21:00,21:00,21:00,21:00,마감
미태리 선릉포스코점,1251999118,14:30,14:30,14:30,14:30,14:30,14:30,14:30,브레이크타임시작1
미태리 선릉포스코점,1251999118,17:00,17:00,17:00,17:00,17:00,17:00,17:00,브레이크타임종료1
미태리 선릉포스코점,1251999118,20:30,20:30,20:30,20:30,20:30,20:30,20:30,라스트오더
강남역파스타,1286639031,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
강남역파스타,1286639031,21:30,21:30,21:30,21:30,21:30,21:30,21:30,마감
강남역파스타,1286639031,21:00,21:00,21:00,21:00,21:00,21:00,21:00,라스트오더
22FEB,33868790,11:00,11:00,11:00,11:00,11:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
22FEB,33868790,22:00,22:00,22:00,22:00,22:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
22FEB,33868790,15:00,15:00,15:00,15:00,15:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임시작1
22FEB,33868790,17:00,17:00,17:00,17:00,17:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임종료1
22FEB,33868790,21:00,21:00,21:00,21:00,21:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
코르바니 선릉,1918194979,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
코르바니 선릉,1918194979,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
코르바니 선릉,1918194979,14:30,14:30,14:30,14:30,14:30,15:00,15:00,브레이크타임시작1
코르바니 선릉,1918194979,17:30,17:30,17:30,17:30,17:30,18:00,18:00,브레이크타임종료1
코르바니 선릉,1918194979,13:30,13:30,13:30,13:30,13:30,14:00,14:00,라스트오더
코르바니 선릉,1918194979,21:00,21:00,21:00,21:00,21:00,21:00,21:00,라스트오더2
트라가 역삼점,1239744469,11:00,11:00,11:00,11:00,11:00,11:30,11:30,오픈
트라가 역삼점,1239744469,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
트라가 역삼점,1239744469,14:30,14:30,14:30,14:30,14:30,15:00,15:00,브레이크타임시작1
트라가 역삼점,1239744469,17:30,17:30,17:30,17:30,17:30,17:30,17:30,브레이크타임종료1
트라가 역삼점,1239744469,21:00,21:00,21:00,21:00,21:00,21:00,21:00,라스트오더
트라가 강남역점,1687684396,11:00,11:00,11:00,11:00,11:00,11:30,11:30,오픈
트라가 강남역점,1687684396,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
트라가 강남역점,1687684396,14:30,14:30,14:30,14:30,14:30,15:00,15:00,브레이크타임시작1
트라가 강남역점,1687684396,17:30,17:30,17:30,17:30,17:30,17:30,17:30,브레이크타임종료1
트라가 강남역점,1687684396,21:00,21:00,21:00,21:00,21:00,21:00,21:00,라스트오더
트라가 삼성점,1326727196,11:00,11:00,11:00,11:00,11:00,11:30,11:30,오픈
트라가 삼성점,1326727196,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
트라가 삼성점,1326727196,14:30,14:30,14:30,14:30,14:30,15:00,15:00,브레이크타임시작1
트라가 삼성점,1326727196,17:30,17:30,17:30,17:30,17:30,17:30,17:30,브레이크타임종료1
트라가 삼성점,1326727196,21:00,21:00,21:00,21:00,21:00,21:00,21:00,라스트오더
서초해물찜칼국수,165092874,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
서초해물찜칼국수,165092874,21:00,21:00,21:00,21:00,21:00,21:00,21:00,마감
서초해물찜칼국수,165092874,20:00,20:00,20:00,20:00,20:00,20:00,20:00,라스트오더
생생아구 삼성직영점,1426945477,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
생생아구 삼성직영점,1426945477,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
생생아구 삼성직영점,1426945477,21:00,21:00,21:00,21:00,21:00,21:00,21:00,라스트오더
탄탄면공방 강남점,1951217777,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
탄탄면공방 강남점,1951217777,21:00,21:00,21:00,21:00,21:00,21:00,21:00,마감
탄탄면공방 강남점,1951217777,20:30,20:30,20:30,20:30,20:30,20:30,20:30,라스트오더
파파야리프 코엑스점,1079820562,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
파파야리프 코엑스점,1079820562,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
파파야리프 코엑스점,1079820562,21:00,21:00,21:00,21:00,21:00,21:00,21:00,라스트오더
파파야리프 강남점,20815303,11:10,11:10,11:10,11:10,11:10,11:10,11:10,오픈
파파야리프 강남점,20815303,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
