name,store_id,프로그램명,회차,방영일자,주제
구구당,1074002248,생방송투데이,3388회,2023년 10월 11일,치킨차오멘/큐브스테이크/멘보샤/우육탕면
구구당,1074002248,생방송투데이,2469회,2019년 12월 16일,우육면/딴딴라구파스타/홍콩파스타
도치피자 강남,20472120,VJ특공대,655회,2013년 3월 8일,피자
도치피자 강남,20472120,VJ특공대,605회,2012년 2월 24일,피자
대낚식당 역삼본점,1946267335,밥블레스유,49회,2019년 6월 13일,곱도리탕/대낙새전골
대낚식당 역삼본점,1946267335,생활의달인,665회,2019년 4월 8일,대창덮밥
백억하누 강남본점,36237506,생방송오늘저녁,815회,2018년 3월 29일,황제차돌삼합
백억하누 강남본점,36237506,2TV저녁생생정보,9회,2015년 8월 17일,한우불고기
백억하누 강남본점,36237506,식신로드1,246회,2015년 8월 8일,무한리필
고운님,19792920,생방송투데이,2367회,2019년 7월 11일,갯장어샤부샤부/병어초무침
고운님,19792920,수요미식회,132회,2017년 8월 23일,갑오징어숙회/오징어
고운님,19792920,생생정보통,446회,2012년 4월 24일,회무침
옛골,19866651,생방송오늘저녁,926회,2018년 10월 9일,꽁치김치찌개
옛골,19866651,수요미식회,133회,2017년 8월 30일,꽁치묵은지찌개/오징어볶음
락희옥 서초교대역점,1941358348,맛있는녀석들,270회,2020년 4월 24일,한식요리
의령전원,37749228,생방송투데이,2977회,2022년 1월 14일,소곱창전골
의령전원,37749228,2TV생생정보,885회,2019년 8월 21일,자연산모둠생선구이
의령전원,37749228,생방송오늘저녁,666회,2017년 8월 23일,생선구이
조양관한정식,11702941,그린실버고향이좋다,284회,2014년 8월 21일,보리굴비
봉우리 역삼본점,21666541,생방송오늘저녁,193회,2015년 8월 21일,21일
봉우리 역삼본점,21666541,생방송오늘아침,1887회,2013년 11월 21일,장김치
꽃새우 영번지 역삼점,20413792,생방송오늘저녁,2274회,2024년 6월 4일,꽃새우/닭새우
꽃새우 영번지 역삼점,20413792,생방송투데이,2727회,2020년 12월 28일,독도새우모둠/꽃새우라면
꽃새우 영번지 역삼점,20413792,수요미식회,208회,2019년 6월 25일,독도새우모둠세트/간장꽃새우밥/꽃새우라면
꽃새우 영번지 역삼점,20413792,생방송오늘저녁,514회,2017년 1월 4일,회
꽃새우 영번지 역삼점,20413792,2TV생생정보,115회,2016년 6월 20일,꽃새우
꽃새우 영번지 역삼점,20413792,맛있는녀석들,55회,2016년 4월 11일,새우
꽃새우 영번지 역삼점,20413792,맛있는녀석들,17회,2015년 6월 19일,새우
장서는날,11595227,굿모닝대한민국,127회,2011년 11월 22일,우삼겹/소고기삼겹
