name,store_id,amenity
보승회관 교대직영점,1242946937,방문접수/출장
보승회관 교대직영점,1242946937,예약
보승회관 교대직영점,1242946937,무선 인터넷
보승회관 교대직영점,1242946937,대기공간
보승회관 교대직영점,1242946937,남/녀 화장실 구분
보승회관 교대직영점,1242946937,간편결제
보승회관 교대직영점,1242946937,주차
두성전주콩나물국밥 교대점,1316523420,단체 이용 가능
두성전주콩나물국밥 교대점,1316523420,포장
두성전주콩나물국밥 교대점,1316523420,배달
두성전주콩나물국밥 교대점,1316523420,무선 인터넷
우밀가 선릉점,898268200,예약
우밀가 선릉점,898268200,단체 이용 가능
우밀가 선릉점,898268200,주차
우밀가 선릉점,898268200,포장
우밀가 선릉점,898268200,남/녀 화장실 구분
우밀가 선릉점,898268200,무선 인터넷
분틀,1619914936,단체 이용 가능
분틀,1619914936,예약
분틀,1619914936,발렛파킹
분틀,1619914936,포장
분틀,1619914936,배달
분틀,1619914936,남/녀 화장실 구분
분틀,1619914936,무선 인터넷
우밀가 삼성점,355849071,예약
우밀가 삼성점,355849071,단체 이용 가능
우밀가 삼성점,355849071,주차
우밀가 삼성점,355849071,포장
우밀가 삼성점,355849071,남/녀 화장실 구분
우밀가 삼성점,355849071,무선 인터넷
우밀가 역삼점,121962258,예약
우밀가 역삼점,121962258,단체 이용 가능
우밀가 역삼점,121962258,주차
우밀가 역삼점,121962258,포장
우밀가 역삼점,121962258,남/녀 화장실 구분
우밀가 역삼점,121962258,무선 인터넷
소연 삼성점,13543908,단체 이용 가능
소연 삼성점,13543908,배달
소연 삼성점,13543908,포장
소연 삼성점,13543908,예약
소연 삼성점,13543908,무선 인터넷
소연 삼성점,13543908,남/녀 화장실 구분
소연 삼성점,13543908,유아의자
소연 삼성점,13543908,주차
소호정 대치점,31259558,단체 이용 가능
소호정 대치점,31259558,포장
소호정 대치점,31259558,예약
소호정 강남점,31259560,단체 이용 가능
명동 곰돌이,19878202,단체 이용 가능
153구포국수 선릉역점,1081618710,단체 이용 가능
153구포국수 선릉역점,1081618710,포장
153구포국수 선릉역점,1081618710,배달
153구포국수 선릉역점,1081618710,예약
153구포국수 선릉역점,1081618710,무선 인터넷
두레국수,18394397,예약
두레국수,18394397,단체 이용 가능
두레국수,18394397,주차
두레국수,18394397,포장
두레국수,18394397,무선 인터넷
두레국수,18394397,남/녀 화장실 구분
대림국수 교대점,1498177476,무선 인터넷
대림국수 교대점,1498177476,주차
행복담은 불돈가스 & 행복김밥 대치선릉점,37797384,단체 이용 가능
행복담은 불돈가스 & 행복김밥 대치선릉점,37797384,포장
교대김밥,202914938,포장
교대김밥,202914938,단체 이용 가능
교대김밥,202914938,무선 인터넷
교대김밥,202914938,남/녀 화장실 구분
교대김밥,202914938,예약
교대김밥,202914938,대기공간
교대김밥,202914938,간편결제
오미마리,1341330670,포장
오미마리,1341330670,방문접수/출장
오미마리,1341330670,무선 인터넷
흑미원조2018 식물원김밥,1150339701,배달
흑미원조2018 식물원김밥,1150339701,예약
흑미원조2018 식물원김밥,1150339701,포장
흑미원조2018 식물원김밥,1150339701,남/녀 화장실 구분
흑미원조2018 식물원김밥,1150339701,대기공간
김밥왕,1543900083,포장
꽃낙지 강남역삼직영점,1295281428,단체 이용 가능
꽃낙지 강남역삼직영점,1295281428,포장
꽃낙지 강남역삼직영점,1295281428,배달
꽃낙지 강남역삼직영점,1295281428,무선 인터넷
꽃낙지 강남역삼직영점,1295281428,남/녀 화장실 구분
꽃낙지 강남역삼직영점,1295281428,대기공간
꽃낙지 강남역삼직영점,1295281428,주차
용호동낙지 강남직영점,1874679673,포장
용호동낙지 강남직영점,1874679673,무선 인터넷
용호동낙지 강남직영점,1874679673,단체 이용 가능
용호동낙지 강남직영점,1874679673,남/녀 화장실 구분
용호동낙지 강남직영점,1874679673,주차
남도진미,1475149257,예약
남도진미,1475149257,단체 이용 가능
남도진미,1475149257,주차
남도진미,1475149257,포장
남도진미,1475149257,남/녀 화장실 구분
서초면옥 서초본점,11525305,단체 이용 가능
서초면옥 서초본점,11525305,주차
서초면옥 서초본점,11525305,포장
서관면옥 교대본점,1438690191,포장
서관면옥 교대본점,1438690191,남/녀 화장실 구분
서관면옥 교대본점,1438690191,무선 인터넷
서관면옥 교대본점,1438690191,예약
서관면옥 교대본점,1438690191,단체 이용 가능
서관면옥 교대본점,1438690191,대기공간
서관면옥 교대본점,1438690191,주차
서관면옥 교대본점,1438690191,발렛파킹
을밀대 강남점,13455431,단체 이용 가능
을밀대 강남점,13455431,주차
을밀대 강남점,13455431,포장
을밀대 강남점,13455431,남/녀 화장실 구분
평가옥 삼성점,12943462,예약
평가옥 삼성점,12943462,주차
우밀가 상록점,1511977717,주차
우밀가 상록점,1511977717,무선 인터넷
